Allergen,BiochemicalName,MW(SDS-PAGE),AllergenExposure,CommonName,Description
Act c 10,nsLTP1,10 kDa,Food,gold kiwifruit,"lipid transfer protein, partial"
Act c 5,Kiwellin,28 kDa,Food,gold kiwifruit,kiwellin
Act c 8,"Pathogenesis-related protein, PR-10, Bet v 1 family member",17 kDa,Food,gold kiwifruit,"pathogenesis related protein, PR-10, Bet v 1-like"
Act d 1,Cysteine protease (actinidin),30 kDa,Food,green kiwifruit,actinidin
Act d 1,Cysteine protease (actinidin),30 kDa,Food,gold kiwifruit,actinidin
Act d 10,nsLTP1,10 kDa,Food,green kiwifruit,lipid transfer protein
Act d 11,"Major latex protein/ripening-related protein (MLP/RRP), Bet v 1 family member",17 kDa,Food,green kiwifruit,"pathogenesis related protein, PR-10, Bet v 1-like"
Act d 12,"Cupin, 11S globulin seed storage protein","50,207.304 Da (mass spectrometry of Act d 12.0101)",Food,green kiwifruit,"11S globulin, cupin, partial"
Act d 2,Thaumatin-like protein,24 kDa,Food,green kiwifruit,thaumatin-like
Act d 3,,40 kDa,Food,green kiwifruit,"unknown function, partial from P85063.3"
Act d 4,Phytocystatin,11 kDa,Food,green kiwifruit,phytocystatin
Act d 5,Kiwellin,28 kDa,Food,green kiwifruit,kiwellin
Act d 5,Kiwellin,28 kDa,Food,green kiwifruit,"kiwellin, partial"
Act d 8,"Pathogenesis-related protein, PR-10, Bet v 1 family member",17 kDa,Food,green kiwifruit,"pathogenesis related protein, PR-10, Bet v 1-like"
Act d 9,Profilin,14 kDa,Food,green kiwifruit,profilin
Ana c 1,Profilin,15 kDa,Food,pineapple,profilin
Ana c 2,Bromelain,22.8 kDa,Food,pineapple,"bromelain, sulfhydryl protease"
Ana o 1,Vicilin-like protein,50 kDa,Food,cashew,"7S globulin, vicilin-like"
Ana o 2,Legumin-like protein,55 kDa,Food,cashew,"11S globulin, glycinin, cupin"
Ana o 3,2S albumin,14 kDa,Food,cashew,"2S albumin, conglutin"
Ani s 1,"unknown function, similar to Kunitz serine protease inhibitors",24 kDa,Food,parasitic fish worm,serine protease inhibitor
Ani s 10,Protein with unknown function,21 kDa,Food,parasitic fish worm,unknown function 
Ani s 11,Protein with unknown function,27 kDa,Food,parasitic fish worm,unknown function 
Ani s 11,Protein with unknown function,27 kDa,Food,parasitic fish worm,"unknown function, partial"
Ani s 11,Protein with unknown function,27 kDa,Food,parasitic fish worm,unknown function
